short_window,long_window,volume_mavg_Value,MaRateUp,VolumeSellRate,rsi_period,rsiValueThd,rsiRateUp,divergence_threshold,Train_Sharpe,Train_AnnRet,Train_MaxDD,Train_Trades,Train_WinRate,Valid_Sharpe,Valid_AnnRet,Valid_MaxDD,Valid_Trades,Valid_WinRate,Score_train
3,18,10,1.13,3,17,29,1.52,0.028,0.7310943828843043,0.05977329903154449,-0.07433141418948574,14,0.7857142857142857,1.6818452509267428,0.16679784451980395,-0.046982422335193216,11,0.45454545454545453,1.3966199905140113
4,15,10,1.0,3,16,28,1.24,0.017,0.608862576435796,0.06223693393160912,-0.09836569308498047,33,0.48484848484848486,1.733766685409002,0.22655496463884273,-0.07521870504943401,12,0.6666666666666666,1.39629545271704
4,15,10,1.0,3,17,27,1.2,0.017,0.608862576435796,0.06223693393160912,-0.09836569308498047,33,0.48484848484848486,1.733766685409002,0.22655496463884273,-0.07521870504943401,12,0.6666666666666666,1.39629545271704
3,18,10,1.0,3,16,29,1.2,0.028,0.6779548109484105,0.0554510140270108,-0.07465784728503094,15,0.7333333333333333,1.704067745378018,0.18322928642029335,-0.06883250031205163,12,0.5,1.3962338650491357
3,18,10,1.04,3,18,26,1.2,0.028,0.6779548109484105,0.0554510140270108,-0.07465784728503094,15,0.7333333333333333,1.704067745378018,0.18322928642029335,-0.06883250031205163,12,0.5,1.3962338650491357
5,17,10,1.14,3,16,30,1.44,0.017,0.49857943483802775,0.04690600638897968,-0.09969567002539097,25,0.56,1.7741176813714272,0.22227340801645878,-0.07127005081071097,8,0.875,1.3914562074114072
4,13,9,1.08,3,12,35,1.54,0.019,0.7544849772707853,0.07656265228464787,-0.0733415591490134,33,0.5151515151515151,1.6573823205567353,0.16879036574540618,-0.05358271990881902,11,0.8181818181818182,1.3865131175709502
5,15,10,1.0,3,12,30,1.36,0.02,0.771559117134306,0.07390377607143073,-0.08757212828653942,22,0.5454545454545454,1.646081801858947,0.19084617779848356,-0.0650612232472129,9,0.6666666666666666,1.3837249964415546
4,14,10,0.99,3,15,35,1.6,0.015,0.4376901690914064,0.04196826120205999,-0.1006248394358747,36,0.5,1.785336568829033,0.23825461068582654,-0.09207986945522392,12,0.6666666666666666,1.381042648907745
5,15,10,0.97,3,11,33,1.32,0.017,0.6059059329988875,0.0601422779348777,-0.10145262633807331,28,0.5714285714285714,1.7098877891489568,0.20832647484434919,-0.06899457275244605,11,0.6363636363636364,1.378693232303936
4,14,10,1.07,3,10,28,1.34,0.022,0.5275525972051226,0.041750763145157244,-0.07014382008620615,21,0.38095238095238093,1.7417058317998784,0.18665752486613574,-0.04096634645431654,10,0.6,1.3774598614214515
3,18,10,1.09,3,18,28,1.04,0.028,0.6667089598930029,0.054464396768394874,-0.07465784728503094,16,0.6875,1.6818452509267428,0.16679784451980395,-0.046982422335193216,11,0.45454545454545453,1.377304363616621
4,14,10,0.98,3,17,29,1.28,0.017,0.4369742129510316,0.040781033626453356,-0.09805603129588641,34,0.4411764705882353,1.7772280811202474,0.21094224538009487,-0.0537317946027599,11,0.6363636363636364,1.3751519206694827
5,15,10,0.98,3,13,27,1.14,0.027,0.5286144413183349,0.046416732151582485,-0.08821336346667841,17,0.4117647058823529,1.7369305183731167,0.1705432213907805,-0.0650612232472129,7,0.7142857142857143,1.374435695256682
5,15,10,0.95,3,11,28,1.18,0.027,0.5286144413183349,0.046416732151582485,-0.08821336346667841,17,0.4117647058823529,1.7369305183731167,0.1705432213907805,-0.0650612232472129,7,0.7142857142857143,1.374435695256682
4,14,10,1.03,3,14,34,1.5,0.022,0.5124796603081663,0.04056064069397047,-0.07911366424065566,23,0.43478260869565216,1.7417058317998784,0.18665752486613574,-0.04096634645431654,10,0.6,1.3729379803523647
4,15,10,1.02,3,14,35,1.56,0.022,0.6048994069702661,0.054435964580893614,-0.08077973701344804,27,0.48148148148148145,1.7008813554324949,0.19725293370514585,-0.06883027260837628,12,0.6666666666666666,1.372086770893826
4,14,10,1.01,3,12,31,1.04,0.015,0.40335101438474646,0.03822528314515594,-0.11009273731158692,36,0.4444444444444444,1.785336568829033,0.23825461068582654,-0.09207986945522392,12,0.6666666666666666,1.370740902495747
5,15,10,1.03,3,17,32,1.12,0.025,0.7011705659987604,0.06045723336159292,-0.08244760135011259,15,0.4666666666666667,1.6551775404954432,0.17066437690829828,-0.043089376886855095,6,0.8333333333333334,1.3689754481464382
5,15,10,1.03,3,12,28,1.22,0.025,0.7001290848890609,0.06035854609051272,-0.0826957876511233,14,0.42857142857142855,1.6551775404954432,0.17066437690829828,-0.043089376886855095,6,0.8333333333333334,1.3686630038135283
5,16,10,1.05,3,11,31,1.22,0.016,0.2847740914252307,0.02460138212634555,-0.11034850102804183,28,0.42857142857142855,1.8314155471888032,0.23409075849176264,-0.06889984677168744,9,0.8888888888888888,1.3674231104597314
4,13,9,0.99,3,10,26,1.6,0.019,0.7103356969150127,0.07168217207524785,-0.08132711317912088,34,0.5,1.6476345688642282,0.16542030912708694,-0.05358271990881902,10,0.8,1.3664449072794635
5,15,10,1.06,3,15,27,1.0,0.026,0.5430818116796783,0.042500548125175674,-0.08244760135011259,14,0.35714285714285715,1.714230518242303,0.15258989542802293,-0.034355296887689735,5,0.8,1.3628859062735155
5,15,10,1.1,3,15,27,1.04,0.026,0.5430818116796783,0.042500548125175674,-0.08244760135011259,14,0.35714285714285715,1.714230518242303,0.15258989542802293,-0.034355296887689735,5,0.8,1.3628859062735155
4,13,9,0.95,3,16,31,1.48,0.02,0.6952417991896025,0.07083508548039297,-0.08203285345168049,35,0.4857142857142857,1.632257614781544,0.16367660012217145,-0.05358271990881902,9,0.7777777777777778,1.3511528701039615
4,13,9,0.95,3,16,29,1.48,0.02,0.694394962150867,0.07073850010451221,-0.08203285345168049,34,0.47058823529411764,1.632257614781544,0.16367660012217145,-0.05358271990881902,9,0.7777777777777778,1.3508988189923408
3,18,10,0.95,3,17,29,1.16,0.027,0.8142321924104008,0.07392647943175445,-0.07432111664672522,20,0.65,1.574235018349344,0.17173926946450457,-0.06883250031205163,11,0.5454545454545454,1.346234170567661
